Category,Subgroup,N (%)
Current Role(s),Data manager / Data steward,6 (28.6%)
Current Role(s),Librarian / Data librarian / Research support staff,16 (76.2%)
Current Role(s),Other,1 (4.8%)
Current Role(s),Research administrator / Program officer,1 (4.8%)
Current Role(s),"Researcher (e.g., student, faculty, post-doctoral)",1 (4.8%)
DMPs authored or co-authored,1,3 (25.0%)
DMPs authored or co-authored,2–3,4 (33.3%)
DMPs authored or co-authored,4–5,2 (16.7%)
DMPs authored or co-authored,More than 5,3 (25.0%)
Frequency of reviewing DMPs,About once a month,10 (47.6%)
Frequency of reviewing DMPs,Every few months,6 (28.6%)
Frequency of reviewing DMPs,Once or twice a year,3 (14.3%)
Frequency of reviewing DMPs,Weekly or more often,2 (9.5%)
Familiarity with NIH DMP requirements,Extremely familiar,9 (42.9%)
Familiarity with NIH DMP requirements,Moderately familiar,7 (33.3%)
Familiarity with NIH DMP requirements,Slightly familiar,1 (4.8%)
Familiarity with NIH DMP requirements,Somewhat familiar,4 (19.0%)
