title,Element number,NIH Value,Element title,Generated Content
Clinical and MRI data from human research participants,element_1a,"Demographic, clinical, and MRI, 1 H fMRS and fMRI imaging data will be acquired from 110 affected youth and 110 matched healthy controls (described in detail in sections C.3 and C.4 of this application). All data will be deidentified prior to receipt by the repository, but the information needed to generate a global unique identifier for the NIMH Data Archive (NDA) will be collected for each subject.",,
Genomic data from human research participants,element_1a,"Our genomic study will be registered with dbGaP, and our raw whole genome sequencing data and derived data 
will be submitted to the NIMH Data Archive (NDA). Phenotypic and clinical data for all 500 research subjects will 
be collected and deposited in NDA using the data dictionaries available in NDA (described below).",,
Genomic data from a non-human source,element_1a,"As detailed in the Research Strategy Section, we propose the generation of a spatially mapped single-cell atlas 
of the developing mouse brain and include specific deliverables. Our primary deliverable for each modality will be 
a matrix of cells × (counts in peaks for ATAC, UMIs in genes for RNA, or methylation status for DNAm) along with 
a dense metadata table with information for each cell. This includes the animal sex, developmental time point, 
punch of origin with x,y,z coordinates, assigned cluster and inferred cell type, assigned subcluster and inferred 
cell type, as well as a number of QC metrics (total reads, passing reads, reads in peaks, TSS enrichment, cell 
barcode combination, date of preparation for each stage, sequencing platform, likelihood of being a doublet, and 
any other relevant metrics that arise during the project). 
The amount and type of data from human cells will depend on the results from the mouse studies. Data sharing 
plans will be updated when appropriate (likely at the start of year 4 of the grant award).",,
Secondary data analysis,element_1a,"The data to be shared will include MRI images and clinical assessments from human research participants. This 
application is focused on secondary data analysis from existing data but will also deposit privately held data to a 
public repository. The existing data is available from the NIMH Data Archive (NDA) in collections 2134 (148 
subjects) and 2433 (47 subjects). In addition, we have data from a previous study involving 155 research 
participants with major depressive disorder that have not yet been shared with the research community but will 
be uploaded to NDA during the second quarter of the first year of funding. As discussed in the application, 
structural MRI scans are available for time points before and after treatment along with relevant clinical data. ",,
Human clinical and genomics data,element_1a,"1000 participants will be enrolled in the study. Clinical data will be obtained from the site electronic 
health record. Clinical data include demographical data, insurance status, medical history, medications, 
lab tests performed by the clinical site and central laboratory, and physical exams data, among other 
data pertinent to the study. Clinical data will be collected at varying frequencies (daily for up to 2 weeks 
then monthly for up to 12 months following informed consent). Research laboratory data include results 
of cytokine analysis and other immunoassays from biospecimens.
Clinical and laboratory data will be captured by each site into the REDCap secure electronic data 
capture system (EDC). Each user will be given role specific access to the EDC, and access will be 
controlled by granting users individual usernames and passwords. Research-specific labs will be 
recorded into the Central lab’s database and merged with the final individual level data for the study 
prior to submitting to NICHD DASH. Clinical data from case report forms will be preserved and shared. 
Clinical data will be collected at varying frequencies (daily for up to 2 weeks then monthly for up to 12 
months following informed consent).
Genomic data will be individual level data. Analysis of genomic DNA will link genotype to phenotypic 
information obtained as part of this study. Genomic data will include Whole Exome Sequencing (WES), 
shallow Whole Genome Sequencing (WGS), DNA methylation arrays (EPIC) for a total of 10 TB data. 
Genomic data will be obtained from a single blood draw taken on the first study visit following informed 
consent. ",,
Gene expression analysis data from non-human model organism (zebrafish),element_1a,"Approximately 100 wild types and 100 phox2bb:mNeonGreen reporter transgenic fish embryos will be 
used for experiments generating scientific data.
Whole mount in situ hybridization will be performed on phox2bb:mNeonGreen zebrafish embryos for 
genes of interest using digoxigenin-labeled antisense RNA probes. In situ hybridization data will be 
collected, managed, and analyzed as .png and .jpeg files.
Transcriptional profiling will be assessed from NeonGreen labeled cells using bulk RNA-seq analysis, 
single cell clustering and expression analysis, and/or single cell RNA-seq (scRNA-seq). Detailed cisregulatory and open chromatin analysis data will be generated from single cell ATAC-seq. Raw bulk 
and/or scRNA-seq and ATAC-seq data will be collected as fastq files. Standard workflows will be used 
to transform the bulk RNA-seq, scRNA-seq and ATAC-seq fastq files to matrices and bed files as is 
usual practice.",,
Human survey data,element_1a,"This study will provide nationally representative cross-sectional data on a target sample of 2,500 
children aged 8–17 years and 1,500 primary caregivers (typically one of the child’s parents). 
The data will include survey interviews with the children and their primary caregivers as well as child 
time diaries. 
In addition, the project will recode raw interview data and time diaries to characterize missing values, 
for top coding or collapsing variable categories, or other activities as needed. The project will create 
scale composites from recoded interview data and individual-level links to detailed school data from the 
National Center for Education Statistics (NCES) and to contextual data based on geocodes for the 
family’s place of residence.",,
Clinical Data from Human Research Participants,element_1a,"This study will collect renal dialysis data from multiple clinics. Demographic, laboratory results, clinical observations, 
and clinical disposition will be acquired from 250 affected participants and 250 matched healthy controls",,
Human genomic data,element_1a,"The proposed research project will generate multiple types of scientific data across genomic, transcriptomic, and clinical domains. The expected data types and their respective sources are outlined below:

Array-derived genotype data will be collected from human participants using the Illumina platform. This dataset will include genetic information from approximately 1,000 research participants, including 500 cases and 500 controls, through prospective enrollment.

30x whole-genome sequencing (WGS) data will also be generated for the same participant cohort, using high-coverage sequencing methods on the Illumina platform.

RNA sequencing (RNA-seq) data will be obtained to analyze gene expression profiles from the same individuals, using the same platform and prospective sample collection.

Hi-C WGS data, which provides information on 3D genomic structure, will be collected using whole-genome sequencing techniques from the same cohort.

Phenotypic and clinical data will be retrieved from institutional electronic health records (EHRs), offering rich, real-world clinical insights associated with the research participants.

Demographic data, including age, sex, ethnicity, and other relevant information, will also be extracted from the EHR system to support stratified analysis and subgroup comparisons.",,
Technology development,element_1a,"The proposed project will generate high-throughput sequencing data from 20 human cell lines, obtained from BIOBANK X, using technologies developed by Small Business X Technology. The types and expected quantities of data include:

Nanopore sequence data: Long-read sequencing data will be produced for all 20 human cell lines using Oxford Nanopore technology, enabling structural variant detection and improved genome assembly.

30x whole-genome sequencing (WGS) data: High-coverage short-read sequencing will be performed on the same 20 cell lines to generate comprehensive genomic variant data.

RNA sequencing (RNA-seq) data: Transcriptomic profiling will be conducted on all cell lines to capture gene expression dynamics and support integrative omics analyses.
",,
