Model,Folder,SBERT_Similarity,ROUGE_L_Recall
GPT,Analysis of social media posts,0.05887967487797141,0.0
GPT,Basic Research from a Non-Human Source Example,-0.032704380651315056,0.0
GPT,Clinical Data from Human Research Participants,-0.02407541483019789,0.0
GPT,Clinical and MRI data from human research participants,-0.007313193986192346,0.0
GPT,Clinical data (human biospecimens),-0.010276434011757374,0.0
GPT,Clinical data from human research participants-NIA,-0.03835428133606911,0.0
GPT,Drug discovery including intellectual property,0.022896417727073032,0.0
GPT,Gene expression analysis data from non-human model organism (zebrafish),-0.035736143278578915,0.0
GPT,Genomic data from a non-human source,0.009645087799678246,0.0
GPT,Genomic data from human research participants,0.010878319929664334,0.0
GPT,HeLa Cell Whole Genome Sequence (DNA or RNA),0.017575693006316822,0.0
GPT,Human Clinical Trial Data,-0.01244957527766625,0.0
GPT,Human clinical and genomic data-NIA,0.002598608067880074,0.0
GPT,Human clinical and genomics data,-0.008716316893696785,0.0
GPT,Human genomic data,0.03623861998009185,0.0
GPT,Human survey data,-0.0041215012315660715,0.0
GPT,Non-human data (primates),-0.019348238594830036,0.0
GPT,Non-human data (rodents)-NIA,-0.017211765982210636,0.0
GPT,Secondary Data Analysis Example,-0.008976749687766036,0.0
GPT,Secondary Data Analysis on Data from Human Subjects-NIA,0.010949262883514166,0.0
GPT,Secondary data analysis,-0.003115813092639049,0.0
GPT,Secondary data analysis-NIA,-0.009133501599232355,0.0
GPT,Survey and Interview Example,0.031612399189422526,0.0
GPT,Survey and interview data-NIA,0.0004455830591420333,0.0
GPT,"Survey, interview, and biological data (tiered access)",0.026519333633283775,0.0
GPT,Technology development,0.011471174657344818,0.0
